Row,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25
P2,0.4013,0.6762,0.3318,0.4269,0.3997,0.1607,0.5562,0.2854,0.9070,0.3370,0.4109,0.5283,0.8468,0.2584,0.2740,0.3844,0.2376,0.3393,0.3261,0.4164,0.4273,0.2016,0.4559,0.4189,0.3767
PM,0.6555,0.6976,0.4106,0.5650,0.5696,0.3346,0.9725,0.2883,0.7648,0.5275,0.4449,1.0689,1.0512,0.2752,0.4148,0.5027,0.4095,0.4724,0.8520,0.5301,0.8170,0.3117,0.6051,0.5273,0.6233
PG,0.5547,0.3197,0.2315,0.3179,0.4056,0.2763,1.0436,0.2226,0.5310,0.3455,0.2919,0.7426,0.9162,0.2433,0.3873,0.2557,0.2796,0.4859,0.3898,0.3808,0.5020,0.2850,0.4813,0.5573,0.2600
CM,0.7635,0.7068,0.5323,0.5660,0.7821,0.3786,0.8644,0.4146,0.4436,0.6408,0.3591,1.0456,1.4056,0.5256,0.3079,0.6525,0.4433,0.5555,1.0673,0.3532,1.0116,0.3918,1.0532,0.6572,0.5888
PMM,0.9185,1.0921,0.9349,1.2211,1.3158,0.6185,1.4496,0.6806,0.8097,0.9719,0.4586,1.2651,1.9171,0.6009,0.5226,1.1588,0.9526,0.6016,1.3589,0.6025,1.5328,0.6469,1.1438,1.3693,0.6683
PMG,0.7285,0.9077,0.7250,1.2151,0.7269,0.4960,1.4889,0.4870,0.6641,0.8146,0.3586,1.2658,1.9585,0.4507,0.4672,0.6198,0.7877,0.7878,1.0676,0.5457,1.1416,0.4842,1.1770,0.8974,0.6171
PGG,0.4320,0.7423,0.3804,0.3320,0.5633,0.3035,0.6597,0.4429,0.5460,0.5484,0.4598,1.0005,1.1408,0.3226,0.4426,0.4891,0.4634,0.2493,0.3031,0.3424,0.8644,0.2511,0.7001,0.6108,0.4262
CMM,0.6999,1.0291,0.9227,0.9456,1.0693,0.5806,1.6065,0.5070,0.5973,0.6987,0.6126,1.5577,1.7758,0.5131,0.7042,1.1116,0.6734,0.7952,1.3639,0.6842,1.2932,0.6427,1.2463,0.9920,0.7844
P4,0.8714,0.9825,0.7735,0.6089,0.4455,0.2986,1.0637,0.5260,0.6181,0.6170,0.5320,1.0923,1.1247,0.2809,0.3334,0.6325,0.4635,0.3698,0.7380,0.5021,0.5730,0.6729,0.7650,0.6609,0.8208
P4M,0.9784,1.4929,1.5816,1.7386,1.5467,0.7547,2.2392,0.9191,0.9219,1.1450,0.5542,1.5257,2.3049,0.7832,0.6913,1.4899,1.0743,0.7280,1.8734,0.6524,1.6180,0.6771,1.5449,1.4416,0.9608
P4G,0.8554,0.9502,1.1423,1.2191,0.8559,0.4269,1.5186,0.4903,0.7566,0.3510,0.4774,1.1587,1.7348,0.2864,0.5095,0.8706,0.5155,0.5228,1.0630,0.5729,1.0630,0.7757,0.8728,1.3379,0.8498
P3,0.6906,0.6666,0.5675,0.4188,0.4645,0.1813,0.5380,0.1940,0.4257,0.3542,0.4286,0.7303,1.1128,0.1935,0.2549,0.5502,0.2340,0.4798,0.6439,0.4054,0.4046,0.2574,0.6246,0.6149,0.6419
P3M1,0.8078,1.1160,1.0273,1.4245,0.8698,0.5267,1.3269,0.5869,0.6836,0.8301,0.4358,1.5416,2.2095,0.4621,0.3626,0.9321,0.7595,0.6962,1.2103,0.8099,1.2156,0.6631,1.2655,1.0981,0.6680
P31M,0.6776,1.1174,0.7140,0.8570,0.7512,0.2587,1.6044,0.3630,0.5643,0.7044,0.3535,0.8949,1.0509,0.2964,0.5337,0.7377,0.4909,0.5210,0.7699,0.8014,0.7158,0.3808,0.8981,0.6571,0.7430
P6,0.7726,0.7595,1.0491,0.9135,0.7053,0.3995,1.4248,0.2277,0.7617,0.6523,0.4610,1.2546,1.2330,0.3058,0.4025,0.6175,0.3225,0.4955,0.7871,0.5528,0.9139,0.2943,0.7437,0.8043,0.2960
P6M,0.9244,1.2971,1.1348,1.1841,0.9985,0.6328,2.2775,0.5777,0.8409,0.6946,0.3870,1.4261,2.0288,0.3983,0.4271,0.8467,0.6869,0.8652,1.3814,0.8266,2.1153,0.7208,1.3515,1.3215,1.0924
